"created","screenName","text"
2013-11-01 17:25:05,"Hordalandpoliti","Uttrågata ved Rimibutikken Voss - Kvinne påkjørt - nødetatene er på vei. Kvinnen virker oppegående."
2013-11-01 16:44:40,"Hordalandpoliti","Flyplassvegen: Kvinne (33) kjørt til Haukeland sykehus for behandling. Var oppegående. Førerkort til sjåfør tatt i beslag."
2013-11-01 16:23:50,"Hordalandpoliti","Flyplassvegen - Politiet er på stedet"
2013-11-01 16:23:08,"Hordalandpoliti","RETTELSE: Skal være Statoil stasjonen ved Flesland (Flyplassvegen)"
2013-11-01 16:13:07,"Hordalandpoliti","Sandslivegen ved  Statoil stasjonen - fotgjenger påkjørt - nødetatene er på vei."
2013-11-01 14:30:45,"Hordalandpoliti","Strekningen Askøybroen - Hanøytangen - Oljesøl. Veldig glatt vei bane. Kjør forsiktig. Entrepenør er på vei til stedet."
2013-11-01 06:24:24,"Hordalandpoliti","Eidvågstunnelen - nordsiden. Mye vann i veibanen, fare for vannplaning. VTS melder om redusert fremkommelighet og vil skilte fysisk."
2013-11-01 06:13:32,"Hordalandpoliti","Klauvsteinen: Brannen er slukket."
2013-11-01 05:58:53,"Hordalandpoliti","Nødetatene rykker ut til brannmelding i Klauvsteinen."
2013-10-31 21:21:08,"Hordalandpoliti","Byvegen Os - påkjørsel bakfra. Ene fører kjøres legevakten for sjekk. Politiet beslaglegger førerkortet til fører som har forårsaket uhellet"
2013-10-31 20:35:51,"Hordalandpoliti","Eikefettunnelen - fører taes med til legevakten for sjekk."
